Product ID,Product Name,Product Category,Target Market,Customer Segment,Customer Persona,Geography,Industry,Customer Pain Point,Value Proposition,Competitor Name,Competitor Price,Proposed Product Price,Pricing Model,Marketing Channel,Campaign Type,Campaign Budget,Expected Reach,Expected Leads,Expected Conversions,Conversion Rate %,Customer Acquisition Cost,Expected Revenue,Revenue Forecast,Market Demand Score,Product Readiness Score,Channel Effectiveness Score,Launch Risk Score,GTM Priority,Launch Phase,Launch Status
GTMP-011,LaunchPilot AI,AI SaaS,India,Mid-Market,Product Marketing Manager,Hyderabad,EdTech,Poor onboarding and activation planning,AI-assisted GTM planning with one integrated decision workspace,HubSpot,18000,12999,Freemium + Paid,Webinars,Community Event,88734,4576,209,21,10.05,4225.43,272979,611173.16,69,90,50,65,Low,Pre-Launch,Ready
GTMP-012,LaunchPilot AI,AI SaaS,India,SMB,Product Marketing Manager,Chennai,SaaS,High customer acquisition cost,AI-assisted GTM planning with one integrated decision workspace,Productboard,20000,14999,Freemium + Paid,YouTube,Creator Campaign,199103,8041,495,37,7.47,5381.16,554963,1258291.25,60,80,74,35,Medium,Post-Launch,Launched
GTMP-013,LaunchPilot AI,AI SaaS,India,SMB,Product Manager,Kolkata,Healthcare,High customer acquisition cost,Prioritize launch actions using data-driven scores,Aha!,24000,12999,Usage-Based,Email,Creator Campaign,235930,10199,273,28,10.26,8426.07,363972,1450892.85,61,92,54,56,Medium,Post-Launch,Launched
GTMP-014,LaunchPilot AI,AI SaaS,India,Mid-Market,Business Analyst,Mumbai,SaaS,Marketing channels are hard to prioritize,"Connect market, customer, channel and revenue decisions in one place",Notion,10000,14999,Annual Subscription,SEO,Community Event,50782,3673,130,22,16.92,2308.27,329978,869078.58,56,66,52,61,Low,Pre-Launch,Planned
GTMP-015,LaunchPilot AI,AI SaaS,India,Mid-Market,Growth Manager,Ahmedabad,SaaS,Unclear target segment and ICP,"Connect market, customer, channel and revenue decisions in one place",Jira Product Discovery,12000,9999,Usage-Based,YouTube,SEO Content,243802,14637,450,21,4.67,11609.62,209979,548755.1,66,66,50,52,Low,Pre-Launch,Ready
GTMP-016,LaunchPilot AI,AI SaaS,India,Mid-Market,Growth Manager,Delhi NCR,EdTech,Unclear target segment and ICP,Reduce launch planning time and improve cross-functional alignment,HubSpot,18000,19999,Monthly Subscription,YouTube,Thought Leadership,192577,8002,239,40,16.74,4814.43,799960,2332395.97,94,72,55,42,Medium,Launch,Launched
GTMP-017,LaunchPilot AI,AI SaaS,India,SMB,Strategy Analyst,Kolkata,EdTech,Launch planning is fragmented across spreadsheets,Prioritize launch actions using data-driven scores,Productboard,20000,12999,Monthly Subscription,Meta Ads,Community Event,53297,2239,93,16,17.2,3331.06,207984,680705.97,62,93,82,60,Medium,Launch,Launched
GTMP-018,LaunchPilot AI,AI SaaS,India,SMB,Product Marketing Manager,Pune,FinTech,Marketing channels are hard to prioritize,"Connect market, customer, channel and revenue decisions in one place",Aha!,24000,14999,Annual Subscription,Email,SEO Content,146769,9584,572,72,12.59,2038.46,1079928,3177827.26,59,74,90,38,Medium,Launch,Launched
GTMP-019,LaunchPilot AI,AI SaaS,India,Mid-Market,Business Analyst,Bengaluru,FinTech,Unclear target segment and ICP,Reduce launch planning time and improve cross-functional alignment,Notion,10000,14999,Usage-Based,Community Marketing,Creator Campaign,53161,2037,99,6,6.06,8860.17,89994,331573.49,68,72,90,23,High,Post-Launch,Planned
GTMP-020,LaunchPilot AI,AI SaaS,India,SMB,Product Marketing Manager,Bengaluru,EdTech,Launch planning is fragmented across spreadsheets,Prioritize launch actions using data-driven scores,Jira Product Discovery,12000,7999,Freemium + Paid,LinkedIn,Search Campaign,68421,2577,125,17,13.6,4024.76,135983,395511.29,88,72,93,43,High,Post-Launch,Launched
GTMP-021,LaunchPilot AI,AI SaaS,India,SMB,Business Analyst,Bengaluru,Manufacturing,Unclear target segment and ICP,AI-assisted GTM planning with one integrated decision workspace,HubSpot,18000,9999,Freemium + Paid,Partnerships,Creator Campaign,121578,4554,181,20,11.05,6078.9,199980,476554.22,58,90,54,17,Medium,Post-Launch,Planned
GTMP-022,LaunchPilot AI,AI SaaS,India,Startup,Growth Manager,Kolkata,Technology,Poor onboarding and activation planning,"Connect market, customer, channel and revenue decisions in one place",Productboard,20000,19999,Freemium + Paid,YouTube,Retargeting,171346,12671,384,45,11.72,3807.69,899955,2812900.4,94,91,86,40,High,Launch,Ready
GTMP-023,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Bengaluru,EdTech,Weak positioning versus established competitors,AI-assisted GTM planning with one integrated decision workspace,Aha!,24000,12999,Freemium + Paid,Email,SEO Content,110852,5910,225,21,9.33,5278.67,272979,937502.16,64,72,84,68,Medium,Post-Launch,In Progress
GTMP-024,LaunchPilot AI,AI SaaS,India,SMB,Business Analyst,Delhi NCR,Manufacturing,Marketing channels are hard to prioritize,"Connect market, customer, channel and revenue decisions in one place",Notion,10000,14999,Monthly Subscription,Community Marketing,Partner Campaign,147199,9810,358,51,14.25,2886.25,764949,1961580.34,79,85,72,63,Medium,Pre-Launch,Ready
GTMP-025,LaunchPilot AI,AI SaaS,India,SMB,Product Marketing Manager,Chennai,E-commerce,Launch planning is fragmented across spreadsheets,Prioritize launch actions using data-driven scores,Jira Product Discovery,12000,19999,Freemium + Paid,Google Ads,Creator Campaign,240954,18082,881,132,14.98,1825.41,2639868,9585906.4,93,94,53,29,High,Launch,Planned
GTMP-026,LaunchPilot AI,AI SaaS,India,Mid-Market,Product Manager,Bengaluru,Technology,Limited visibility into launch readiness,AI-assisted GTM planning with one integrated decision workspace,HubSpot,18000,12999,Annual Subscription,Webinars,Retargeting,144979,10611,604,67,11.09,2163.87,870933,2856022.89,60,93,87,21,High,Pre-Launch,Planned
GTMP-027,LaunchPilot AI,AI SaaS,India,Mid-Market,Growth Manager,Hyderabad,Manufacturing,Marketing channels are hard to prioritize,AI-assisted GTM planning with one integrated decision workspace,Productboard,20000,14999,Freemium + Paid,SEO,Product Demo,227641,16646,596,56,9.4,4065.02,839944,2323278.35,67,67,92,23,High,Post-Launch,In Progress
GTMP-028,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Chennai,Technology,Limited visibility into launch readiness,Reduce launch planning time and improve cross-functional alignment,Aha!,24000,19999,Annual Subscription,YouTube,Retargeting,135461,7290,469,66,14.07,2052.44,1319934,5163780.31,72,66,61,62,Low,Launch,Planned
GTMP-029,LaunchPilot AI,AI SaaS,India,Mid-Market,Founder / Growth Lead,Chennai,E-commerce,Launch planning is fragmented across spreadsheets,AI-assisted GTM planning with one integrated decision workspace,Notion,10000,12999,Freemium + Paid,Community Marketing,Demo Webinar,94979,5501,234,20,8.55,4748.95,259980,1001753.74,85,88,73,21,High,Post-Launch,Launched
GTMP-030,LaunchPilot AI,AI SaaS,India,SMB,Growth Manager,Ahmedabad,SaaS,Launch planning is fragmented across spreadsheets,Prioritize launch actions using data-driven scores,Jira Product Discovery,12000,19999,Monthly Subscription,Meta Ads,Search Campaign,173028,6838,416,20,4.81,8651.4,399980,1053343.53,73,66,87,58,Medium,Pre-Launch,Launched
GTMP-031,LaunchPilot AI,AI SaaS,India,Mid-Market,Strategy Analyst,Pune,SaaS,Launch planning is fragmented across spreadsheets,AI-assisted GTM planning with one integrated decision workspace,HubSpot,18000,7999,Usage-Based,Meta Ads,Creator Campaign,206326,9682,571,30,5.25,6877.53,239970,873907.13,94,93,55,58,Medium,Launch,Launched
GTMP-032,LaunchPilot AI,AI SaaS,India,SMB,Business Analyst,Bengaluru,SaaS,Launch planning is fragmented across spreadsheets,Prioritize launch actions using data-driven scores,Productboard,20000,12999,Freemium + Paid,YouTube,Partner Campaign,168603,13076,408,58,14.22,2906.95,753942,1920648.16,55,71,54,54,Low,Post-Launch,Ready
GTMP-033,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Delhi NCR,SaaS,Launch planning is fragmented across spreadsheets,AI-assisted GTM planning with one integrated decision workspace,Aha!,24000,19999,Annual Subscription,YouTube,Demo Webinar,68088,2695,87,15,17.24,4539.2,299985,907577.37,77,88,61,50,Medium,Launch,Planned
GTMP-034,LaunchPilot AI,AI SaaS,India,Startup,Business Analyst,Mumbai,EdTech,Limited visibility into launch readiness,Prioritize launch actions using data-driven scores,Notion,10000,14999,Annual Subscription,Meta Ads,Demo Webinar,236931,10051,455,45,9.89,5265.13,674955,2060977.6,60,66,92,22,High,Pre-Launch,In Progress
GTMP-035,LaunchPilot AI,AI SaaS,India,Mid-Market,Growth Manager,Delhi NCR,EdTech,Revenue forecast changes frequently,Reduce launch planning time and improve cross-functional alignment,Jira Product Discovery,12000,12999,Monthly Subscription,Webinars,Community Event,77878,5016,189,9,4.76,8653.11,116991,345488.47,74,78,56,27,Medium,Launch,Ready
GTMP-036,LaunchPilot AI,AI SaaS,India,Mid-Market,Business Analyst,Chennai,E-commerce,Revenue forecast changes frequently,Prioritize launch actions using data-driven scores,HubSpot,18000,9999,Monthly Subscription,YouTube,SEO Content,150812,8531,426,39,9.15,3866.97,389961,1217821.16,88,87,74,64,Medium,Post-Launch,Ready
GTMP-037,LaunchPilot AI,AI SaaS,India,Mid-Market,Product Manager,Ahmedabad,Technology,High customer acquisition cost,Prioritize launch actions using data-driven scores,Productboard,20000,19999,Annual Subscription,Webinars,Thought Leadership,55488,2142,125,6,4.8,9248.0,119994,324595.84,78,73,71,24,High,Pre-Launch,Ready
GTMP-038,LaunchPilot AI,AI SaaS,India,SMB,Business Analyst,Ahmedabad,Healthcare,Marketing channels are hard to prioritize,"Connect market, customer, channel and revenue decisions in one place",Aha!,24000,9999,Freemium + Paid,Google Ads,Nurture Sequence,162185,6646,263,45,17.11,3604.11,449955,1796146.59,73,88,68,32,High,Launch,Ready
GTMP-039,LaunchPilot AI,AI SaaS,India,SMB,Strategy Analyst,Chennai,FinTech,Launch planning is fragmented across spreadsheets,Prioritize launch actions using data-driven scores,Notion,10000,9999,Usage-Based,Partnerships,Demo Webinar,66025,2858,167,29,17.37,2276.72,289971,928123.22,63,90,85,70,Medium,Pre-Launch,In Progress
GTMP-040,LaunchPilot AI,AI SaaS,India,SMB,Marketing Manager,Pune,Professional Services,Marketing channels are hard to prioritize,AI-assisted GTM planning with one integrated decision workspace,Jira Product Discovery,12000,12999,Annual Subscription,Webinars,Creator Campaign,63148,2781,170,8,4.71,7893.5,103992,272368.99,62,71,58,42,Medium,Launch,In Progress
GTMP-041,LaunchPilot AI,AI SaaS,India,SMB,Product Manager,Bengaluru,Professional Services,Marketing channels are hard to prioritize,Reduce launch planning time and improve cross-functional alignment,HubSpot,18000,14999,Freemium + Paid,Meta Ads,Demo Webinar,177445,12979,354,33,9.32,5377.12,494967,1569614.3,91,73,90,62,High,Launch,Launched
GTMP-042,LaunchPilot AI,AI SaaS,India,Startup,Marketing Manager,Delhi NCR,EdTech,Poor onboarding and activation planning,"Connect market, customer, channel and revenue decisions in one place",Productboard,20000,12999,Monthly Subscription,Community Marketing,SEO Content,104930,6289,290,17,5.86,6172.35,220983,644694.59,95,93,77,50,High,Pre-Launch,In Progress
GTMP-043,LaunchPilot AI,AI SaaS,India,SMB,Product Manager,Pune,E-commerce,Poor onboarding and activation planning,Prioritize launch actions using data-driven scores,Aha!,24000,12999,Annual Subscription,SEO,Search Campaign,161665,5717,206,28,13.59,5773.75,363972,1215952.41,84,95,85,49,High,Launch,Launched
GTMP-044,LaunchPilot AI,AI SaaS,India,Startup,Business Analyst,Chennai,FinTech,Poor onboarding and activation planning,Prioritize launch actions using data-driven scores,Notion,10000,14999,Annual Subscription,Community Marketing,Thought Leadership,55103,3946,168,20,11.9,2755.15,299980,1013147.75,72,94,54,70,Medium,Pre-Launch,Ready
GTMP-045,LaunchPilot AI,AI SaaS,India,Enterprise,Product Marketing Manager,Mumbai,SaaS,Launch planning is fragmented across spreadsheets,"Connect market, customer, channel and revenue decisions in one place",Jira Product Discovery,12000,7999,Freemium + Paid,YouTube,Creator Campaign,137734,11607,506,89,17.59,1547.57,711911,2093614.07,58,88,78,19,High,Launch,Launched
GTMP-046,LaunchPilot AI,AI SaaS,India,Startup,Business Analyst,Ahmedabad,Technology,Launch planning is fragmented across spreadsheets,AI-assisted GTM planning with one integrated decision workspace,HubSpot,18000,9999,Usage-Based,LinkedIn,SEO Content,54042,3716,198,29,14.65,1863.52,289971,1089659.34,85,87,67,59,Medium,Pre-Launch,In Progress
GTMP-047,LaunchPilot AI,AI SaaS,India,Mid-Market,Product Manager,Ahmedabad,EdTech,Launch planning is fragmented across spreadsheets,Reduce launch planning time and improve cross-functional alignment,Productboard,20000,12999,Annual Subscription,Meta Ads,Partner Campaign,36513,2010,122,16,13.11,2282.06,207984,546537.25,72,90,73,34,High,Post-Launch,In Progress
GTMP-048,LaunchPilot AI,AI SaaS,India,Mid-Market,Business Analyst,Hyderabad,SaaS,High customer acquisition cost,Prioritize launch actions using data-driven scores,Aha!,24000,19999,Usage-Based,Google Ads,Retargeting,48658,2534,136,20,14.71,2432.9,399980,1599015.27,81,72,84,37,High,Pre-Launch,Ready
GTMP-049,LaunchPilot AI,AI SaaS,India,Startup,Growth Manager,Chennai,Healthcare,Limited visibility into launch readiness,AI-assisted GTM planning with one integrated decision workspace,Notion,10000,9999,Annual Subscription,Influencers,Nurture Sequence,139322,5812,230,12,5.22,11610.17,119988,307596.71,77,62,63,40,Medium,Launch,In Progress
GTMP-050,LaunchPilot AI,AI SaaS,India,Mid-Market,Strategy Analyst,Kolkata,Manufacturing,Marketing channels are hard to prioritize,Prioritize launch actions using data-driven scores,Jira Product Discovery,12000,12999,Usage-Based,Email,SEO Content,227340,10629,404,67,16.58,3393.13,870933,2746204.77,95,87,59,48,High,Launch,In Progress
GTMP-051,LaunchPilot AI,AI SaaS,India,SMB,Marketing Manager,Mumbai,Technology,Unclear target segment and ICP,"Connect market, customer, channel and revenue decisions in one place",HubSpot,18000,19999,Monthly Subscription,Email,Thought Leadership,153528,11452,645,67,10.39,2291.46,1339933,4096527.79,93,95,75,52,High,Post-Launch,Launched
GTMP-052,LaunchPilot AI,AI SaaS,India,Enterprise,Business Analyst,Bengaluru,Technology,Limited visibility into launch readiness,"Connect market, customer, channel and revenue decisions in one place",Productboard,20000,7999,Annual Subscription,Meta Ads,SEO Content,240177,14563,616,30,4.87,8005.9,239970,942504.77,85,65,62,17,High,Pre-Launch,Planned
GTMP-053,LaunchPilot AI,AI SaaS,India,Mid-Market,Product Manager,Delhi NCR,Professional Services,High customer acquisition cost,AI-assisted GTM planning with one integrated decision workspace,Aha!,24000,7999,Usage-Based,Google Ads,Retargeting,114591,4357,230,16,6.96,7161.94,127984,351153.39,75,75,60,38,Medium,Pre-Launch,Planned
GTMP-054,LaunchPilot AI,AI SaaS,India,Startup,Product Manager,Pune,SaaS,Limited visibility into launch readiness,"Connect market, customer, channel and revenue decisions in one place",Notion,10000,12999,Monthly Subscription,SEO,Demo Webinar,124892,9245,542,43,7.93,2904.47,558957,1554170.32,79,70,90,41,High,Launch,In Progress
GTMP-055,LaunchPilot AI,AI SaaS,India,SMB,Product Manager,Kolkata,EdTech,Launch planning is fragmented across spreadsheets,"Connect market, customer, channel and revenue decisions in one place",Jira Product Discovery,12000,12999,Usage-Based,YouTube,Search Campaign,63100,2357,71,12,16.9,5258.33,155988,345773.55,93,68,85,16,High,Pre-Launch,Ready
GTMP-056,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Delhi NCR,Technology,Limited visibility into launch readiness,Prioritize launch actions using data-driven scores,HubSpot,18000,19999,Annual Subscription,LinkedIn,Nurture Sequence,217742,14361,452,67,14.82,3249.88,1339933,5011195.03,66,70,60,66,Low,Launch,Ready
GTMP-057,LaunchPilot AI,AI SaaS,India,Startup,Founder / Growth Lead,Mumbai,Healthcare,Marketing channels are hard to prioritize,AI-assisted GTM planning with one integrated decision workspace,Productboard,20000,9999,Freemium + Paid,YouTube,Search Campaign,162162,7429,308,27,8.77,6006.0,269973,631897.48,90,63,82,34,High,Pre-Launch,Planned
GTMP-058,LaunchPilot AI,AI SaaS,India,Enterprise,Growth Manager,Chennai,FinTech,Revenue forecast changes frequently,Reduce launch planning time and improve cross-functional alignment,Aha!,24000,9999,Monthly Subscription,Community Marketing,Search Campaign,160643,6634,203,28,13.79,5737.25,279972,703093.43,87,79,55,70,Medium,Pre-Launch,Planned
GTMP-059,LaunchPilot AI,AI SaaS,India,Startup,Product Marketing Manager,Delhi NCR,EdTech,Unclear target segment and ICP,Prioritize launch actions using data-driven scores,Notion,10000,19999,Monthly Subscription,Community Marketing,Demo Webinar,147964,9778,351,18,5.13,8220.22,359982,1177220.95,60,72,65,52,Medium,Post-Launch,Planned
GTMP-060,LaunchPilot AI,AI SaaS,India,Mid-Market,Product Manager,Bengaluru,Professional Services,Marketing channels are hard to prioritize,Reduce launch planning time and improve cross-functional alignment,Jira Product Discovery,12000,9999,Freemium + Paid,Meta Ads,Search Campaign,151779,8318,433,61,14.09,2488.18,609939,1964301.25,65,87,81,70,Medium,Launch,Ready
GTMP-061,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Ahmedabad,FinTech,Limited visibility into launch readiness,"Connect market, customer, channel and revenue decisions in one place",HubSpot,18000,12999,Usage-Based,LinkedIn,Product Demo,225725,12358,646,42,6.5,5374.4,545958,2146045.88,65,68,80,26,Medium,Post-Launch,Launched
GTMP-062,LaunchPilot AI,AI SaaS,India,SMB,Marketing Manager,Hyderabad,Manufacturing,Revenue forecast changes frequently,Prioritize launch actions using data-driven scores,Productboard,20000,19999,Freemium + Paid,SEO,Demo Webinar,143744,10361,562,84,14.95,1711.24,1679916,5419208.89,73,65,84,65,Medium,Post-Launch,Launched
GTMP-063,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Bengaluru,EdTech,Revenue forecast changes frequently,"Connect market, customer, channel and revenue decisions in one place",Aha!,24000,7999,Monthly Subscription,Influencers,Creator Campaign,112972,8017,485,47,9.69,2403.66,375953,1043058.47,69,82,75,47,Medium,Launch,Ready
GTMP-064,LaunchPilot AI,AI SaaS,India,Startup,Business Analyst,Hyderabad,SaaS,Unclear target segment and ICP,"Connect market, customer, channel and revenue decisions in one place",Notion,10000,9999,Annual Subscription,SEO,Product Demo,58844,2538,132,11,8.33,5349.45,109989,431026.77,84,70,58,20,High,Post-Launch,Launched
GTMP-065,LaunchPilot AI,AI SaaS,India,SMB,Business Analyst,Bengaluru,Manufacturing,Unclear target segment and ICP,"Connect market, customer, channel and revenue decisions in one place",Jira Product Discovery,12000,12999,Monthly Subscription,Webinars,Demo Webinar,87077,3244,143,24,16.78,3628.21,311976,1052773.79,82,78,88,21,High,Pre-Launch,In Progress
GTMP-066,LaunchPilot AI,AI SaaS,India,Enterprise,Marketing Manager,Kolkata,Professional Services,Poor onboarding and activation planning,AI-assisted GTM planning with one integrated decision workspace,HubSpot,18000,19999,Freemium + Paid,Influencers,SEO Content,239660,9248,282,24,8.51,9985.83,479976,1533627.41,72,65,85,62,Medium,Launch,Ready
GTMP-067,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Mumbai,EdTech,Unclear target segment and ICP,AI-assisted GTM planning with one integrated decision workspace,Productboard,20000,19999,Annual Subscription,Partnerships,Partner Campaign,191729,9548,380,37,9.74,5181.86,739963,2640207.93,56,88,51,26,Medium,Post-Launch,Planned
GTMP-068,LaunchPilot AI,AI SaaS,India,Startup,Growth Manager,Pune,EdTech,High customer acquisition cost,AI-assisted GTM planning with one integrated decision workspace,Aha!,24000,19999,Freemium + Paid,Google Ads,Retargeting,120985,6955,242,34,14.05,3558.38,679966,2537906.71,78,91,82,34,High,Launch,In Progress
GTMP-069,LaunchPilot AI,AI SaaS,India,SMB,Marketing Manager,Bengaluru,SaaS,Poor onboarding and activation planning,AI-assisted GTM planning with one integrated decision workspace,Notion,10000,19999,Monthly Subscription,YouTube,SEO Content,143886,8565,395,46,11.65,3127.96,919954,2743499.29,69,66,65,22,Medium,Post-Launch,In Progress
GTMP-070,LaunchPilot AI,AI SaaS,India,Startup,Product Manager,Bengaluru,FinTech,Limited visibility into launch readiness,Reduce launch planning time and improve cross-functional alignment,Jira Product Discovery,12000,9999,Monthly Subscription,Email,Community Event,36612,1499,92,8,8.7,4576.5,79992,263544.25,57,77,92,37,Medium,Launch,Planned
GTMP-071,LaunchPilot AI,AI SaaS,India,Startup,Founder / Growth Lead,Ahmedabad,Professional Services,Revenue forecast changes frequently,"Connect market, customer, channel and revenue decisions in one place",HubSpot,18000,12999,Usage-Based,Google Ads,Community Event,232547,12108,326,29,8.9,8018.86,376971,1368413.27,81,83,52,57,Medium,Post-Launch,In Progress
GTMP-072,LaunchPilot AI,AI SaaS,India,Startup,Business Analyst,Hyderabad,FinTech,Revenue forecast changes frequently,Reduce launch planning time and improve cross-functional alignment,Productboard,20000,7999,Freemium + Paid,Influencers,Nurture Sequence,91797,3497,151,9,5.96,10199.67,71991,178119.27,87,83,71,37,High,Post-Launch,In Progress
GTMP-073,LaunchPilot AI,AI SaaS,India,Enterprise,Growth Manager,Hyderabad,FinTech,Revenue forecast changes frequently,Prioritize launch actions using data-driven scores,Aha!,24000,12999,Monthly Subscription,Webinars,Retargeting,239014,12461,399,54,13.53,4426.19,701946,2613214.12,78,63,93,40,High,Post-Launch,Ready
GTMP-074,LaunchPilot AI,AI SaaS,India,Startup,Business Analyst,Delhi NCR,Professional Services,Revenue forecast changes frequently,AI-assisted GTM planning with one integrated decision workspace,Notion,10000,9999,Annual Subscription,Influencers,Product Demo,110594,7954,327,39,11.93,2835.74,389961,1363151.01,79,79,81,65,Medium,Launch,Ready
GTMP-075,LaunchPilot AI,AI SaaS,India,SMB,Product Marketing Manager,Hyderabad,EdTech,Weak positioning versus established competitors,"Connect market, customer, channel and revenue decisions in one place",Jira Product Discovery,12000,7999,Usage-Based,LinkedIn,SEO Content,176848,11986,617,29,4.7,6098.21,231971,646685.12,88,68,57,58,Medium,Post-Launch,In Progress
GTMP-076,LaunchPilot AI,AI SaaS,India,Mid-Market,Product Manager,Bengaluru,Professional Services,High customer acquisition cost,Reduce launch planning time and improve cross-functional alignment,HubSpot,18000,7999,Annual Subscription,Email,Nurture Sequence,178442,14367,475,56,11.79,3186.46,447944,1551007.88,86,94,75,49,High,Pre-Launch,Ready
GTMP-077,LaunchPilot AI,AI SaaS,India,SMB,Growth Manager,Kolkata,E-commerce,Weak positioning versus established competitors,"Connect market, customer, channel and revenue decisions in one place",Productboard,20000,14999,Freemium + Paid,LinkedIn,Partner Campaign,118013,9294,459,48,10.46,2458.6,719952,2796788.53,89,91,64,33,High,Launch,In Progress
GTMP-078,LaunchPilot AI,AI SaaS,India,Mid-Market,Growth Manager,Mumbai,Professional Services,Unclear target segment and ICP,"Connect market, customer, channel and revenue decisions in one place",Aha!,24000,19999,Usage-Based,Influencers,SEO Content,215531,18085,991,146,14.73,1476.24,2919854,10431651.91,59,78,77,40,Medium,Pre-Launch,Ready
GTMP-079,LaunchPilot AI,AI SaaS,India,SMB,Marketing Manager,Mumbai,EdTech,Limited visibility into launch readiness,"Connect market, customer, channel and revenue decisions in one place",Notion,10000,12999,Annual Subscription,Email,Retargeting,209533,16349,518,23,4.44,9110.13,298977,838640.63,73,89,55,61,Medium,Pre-Launch,Launched
GTMP-080,LaunchPilot AI,AI SaaS,India,SMB,Founder / Growth Lead,Hyderabad,EdTech,Poor onboarding and activation planning,"Connect market, customer, channel and revenue decisions in one place",Jira Product Discovery,12000,7999,Usage-Based,Google Ads,Thought Leadership,123016,8117,505,89,17.62,1382.2,711911,1655444.48,93,66,75,59,Medium,Pre-Launch,Launched
